date,player,played,draws
20260530,Donatello,24,0
20260530,Oliver,24,0
20260530,Luigi,24,0
20260518,Noah,23,0
20260531,Mateo,22,0
20260527,Sebastian,21,0
20260529,Odin,25,1
20260517,Odin,24,1
20260517,Pascal,24,1
20260518,Odin,24,1
20260518,Oliver,24,1
20260519,Adriano,24,1
20260521,Leonardo,24,1
20260522,Iron,24,1
20260522,Kristof,24,1
20260522,Arthur,24,1
20260522,Maverick,24,1
20260522,Donatello,24,1
20260522,Noah,24,1
20260523,Nathan,24,1
20260523,Conde,24,1
20260525,Odin,24,1
20260525,Gabriel,24,1
20260525,Maverick,24,1
20260526,Gael,24,1
20260529,Oliver,24,1
20260529,Alexander,24,1
20260530,Gael,24,1
20260530,Andrew,24,1
20260530,Cezar,24,1
20260531,Cezar,24,1
20260601,Flash,24,1
20260602,Leonardo,24,1
20260603,Gabriel,24,1
20260603,VanGogh,24,1
20260603,Kai,24,1
20260603,Andrew,24,1
20260604,Lucas,24,1
20260604,George,24,1
20260607,Beckham,24,1
20260608,Bruno,24,1
20260608,Matrix,24,1
20260518,Alexander,23,1
20260523,Sebastian,23,1
20260525,Gael,23,1
20260531,Arthur,23,1
20260603,Felix,23,1
20260517,William,22,1
20260527,Splinter,22,1
20260531,Pascal,22,1
20260607,Kristof,22,1
20260522,Felix,21,1
20260524,William,21,1
20260525,Liam,21,1
20260529,Alexis,21,1
20260522,Cleo,20,1
20260523,Adriano,27,2
20260527,Conde,26,2
20260518,Conde,25,2
20260526,Sebastian,25,2
20260530,Splinter,25,2
20260517,Gabriel,24,2
20260518,Liam,24,2
20260518,Popeye,24,2
20260519,George,24,2
20260519,Liam,24,2
20260519,Andrew,24,2
20260519,Beckham,24,2
20260520,Odin,24,2
20260520,Sebastian,24,2
20260520,Donatello,24,2
20260521,Matrix,24,2
20260521,Bruno,24,2
20260521,Gabriel,24,2
20260521,Haidan,24,2
20260521,Noah,24,2
20260521,Andrew,24,2
20260522,Eric,24,2
20260523,Arthur,24,2
20260523,Odin,24,2
20260523,Samuel,24,2
20260523,Pascal,24,2
20260524,Dexter,24,2
20260524,Iron,24,2
20260524,Alexander,24,2
20260525,Flash,24,2
20260525,Leonardo,24,2
20260526,VanGogh,24,2
20260526,Alexander,24,2
20260527,Maverick,24,2
20260527,Donatello,24,2
20260527,Bruno,24,2
20260527,Oliver,24,2
20260527,William,24,2
20260527,Dominic,24,2
20260527,Gabriel,24,2
20260528,Luigi,24,2
20260528,Splinter,24,2
20260528,Samuel,24,2
20260528,Maverick,24,2
20260528,Iron,24,2
20260529,Eric,24,2
20260529,Gabriel,24,2
20260529,Bruno,24,2
20260529,Maverick,24,2
20260529,Liam,24,2
20260530,Iron,24,2
20260530,Cleo,24,2
20260530,Kai,24,2
20260530,Beckham,24,2
20260601,Arthur,24,2
20260601,Maverick,24,2
20260601,Donatello,24,2
20260602,VanGogh,24,2
20260603,Oliver,24,2
20260603,Flash,24,2
20260603,Samuel,24,2
20260603,Beckham,24,2
20260604,Gael,24,2
20260604,Cleo,24,2
20260605,Flash,24,2
20260606,Andrew,24,2
20260608,Gael,24,2
20260608,Flash,24,2
20260608,Gabriel,24,2
20260608,VanGogh,24,2
20260608,Donatello,24,2
20260518,Dexter,23,2
20260531,Odin,23,2
20260531,Bruno,23,2
20260601,Felix,23,2
20260524,Sebastian,22,2
20260528,Conde,22,2
20260521,Odin,21,2
20260522,Gael,21,2
20260531,Eduardo,21,2
20260531,Splinter,21,2
20260602,Dexter,21,2
20260607,Sebastian,21,2
20260608,Alexis,21,2
20260527,Liam,45,3
20260516,Conde,28,3
20260520,Gael,25,3
20260524,Gael,25,3
20260529,Gael,25,3
20260604,Liam,25,3
20260608,Maverick,25,3
20260516,Haidan,24,3
20260516,Splinter,24,3
20260516,Kristof,24,3
20260517,Gael,24,3
20260517,Juan,24,3
20260517,Maverick,24,3
20260517,Haidan,24,3
20260518,Flash,24,3
20260518,Eric,24,3
20260518,Leonardo,24,3
20260519,Arthur,24,3
20260519,Kai,24,3
20260520,Matrix,24,3
20260520,Maverick,24,3
20260520,Alexander,24,3
20260520,Pascal,24,3
20260520,MisterX,24,3
20260520,Logan,24,3
20260521,William,24,3
20260521,Iron,24,3
20260521,Oliver,24,3
20260521,Kai,24,3
20260521,Alexis,24,3
20260521,Maverick,24,3
20260521,Panther,24,3
20260522,MisterX,24,3
20260522,Sebastian,24,3
20260522,Liam,24,3
20260522,VanGogh,24,3
20260522,Splinter,24,3
20260522,Andrew,24,3
20260522,Bruno,24,3
20260523,Donatello,24,3
20260523,Flash,24,3
20260524,Odin,24,3
20260524,Eric,24,3
20260524,Cleo,24,3
20260524,Samuel,24,3
20260525,Felix,24,3
20260525,Matrix,24,3
20260525,MisterX,24,3
20260525,Haidan,24,3
20260525,Splinter,24,3
20260525,Noah,24,3
20260526,Odin,24,3
20260526,Oliver,24,3
20260526,Andrew,24,3
20260526,Leonardo,24,3
20260526,Logan,24,3
20260527,Juan,24,3
20260527,VanGogh,24,3
20260527,Alexander,24,3
20260527,Kai,24,3
20260528,Bruno,24,3
20260528,Leonardo,24,3
20260528,Alexander,24,3
20260528,Beckham,24,3
20260529,Matrix,24,3
20260529,Beckham,24,3
20260530,Arthur,24,3
20260530,Liam,24,3
20260530,Dominic,24,3
20260531,Luigi,24,3
20260531,Kai,24,3
20260601,Matrix,24,3
20260601,Bruno,24,3
20260601,Gabriel,24,3
20260601,Oliver,24,3
20260601,Haidan,24,3
20260601,Logan,24,3
20260601,William,24,3
20260602,Kaizen,24,3
20260602,Eric,24,3
20260602,Cezar,24,3
20260602,Samuel,24,3
20260602,Panther,24,3
20260603,Sebastian,24,3
20260603,Maverick,24,3
20260603,Haidan,24,3
20260604,Odin,24,3
20260604,Conde,24,3
20260604,Maverick,24,3
20260604,Beckham,24,3
20260605,Sebastian,24,3
20260605,Gael,24,3
20260605,Matrix,24,3
20260605,Gabriel,24,3
20260605,Pascal,24,3
20260605,Cezar,24,3
20260605,Splinter,24,3
20260605,Andrew,24,3
20260606,Cezar,24,3
20260606,Donatello,24,3
20260607,Alexis,24,3
20260607,Adriano,24,3
20260607,MisterX,24,3
20260607,Splinter,24,3
20260608,Leonardo,24,3
20260608,Eric,24,3
20260608,Cezar,24,3
20260518,Gael,23,3
20260518,Donatello,23,3
20260519,Dexter,23,3
20260526,Cleo,23,3
20260528,Dexter,23,3
20260528,Arthur,23,3
20260531,Gael,23,3
20260531,Andrew,23,3
20260605,William,23,3
20260608,Felix,23,3
20260518,Felix,22,3
20260518,Sebastian,22,3
20260519,Kristof,22,3
20260520,George,22,3
20260603,Kaizen,22,3
20260608,Conde,22,3
20260522,Dexter,21,3
20260524,Adriano,21,3
20260527,Kristof,21,3
20260530,Kristof,21,3
20260518,Eduardo,20,3
20260523,Kai,20,3
20260529,Eduardo,20,3
20260605,Liam,20,3
20260524,Maverick,44,4
20260516,Eric,27,4
20260527,Andrew,27,4
20260606,Alexander,27,4
20260516,Kai,26,4
20260520,Cleo,25,4
20260520,Dexter,25,4
20260522,William,25,4
20260525,Arthur,25,4
20260527,Gael,25,4
20260527,Odin,25,4
20260529,Arthur,25,4
20260602,Felix,25,4
20260603,Gael,25,4
20260606,Sebastian,25,4
20260516,Nathan,24,4
20260517,Beckham,24,4
20260517,MisterX,24,4
20260517,Lucas,24,4
20260518,Maverick,24,4
20260518,Gabriel,24,4
20260518,Andrew,24,4
20260519,Leonardo,24,4
20260519,Bruno,24,4
20260519,Donatello,24,4
20260520,Arthur,24,4
20260520,Alexis,24,4
20260520,Bruno,24,4
20260520,Haidan,24,4
20260520,Andrew,24,4
20260520,Liam,24,4
20260520,Noah,24,4
20260521,Eric,24,4
20260521,Arthur,24,4
20260521,MisterX,24,4
20260521,Beckham,24,4
20260522,Leonardo,24,4
20260522,Beckham,24,4
20260522,Adriano,24,4
20260522,Logan,24,4
20260523,Eric,24,4
20260523,Splinter,24,4
20260523,William,24,4
20260523,Juan,24,4
20260524,Eduardo,24,4
20260524,Splinter,24,4
20260525,Dexter,24,4
20260525,Eric,24,4
20260525,Mateo,24,4
20260525,Pascal,24,4
20260525,Alexander,24,4
20260526,Adriano,24,4
20260526,MisterX,24,4
20260526,Haidan,24,4
20260526,Donatello,24,4
20260527,Flash,24,4
20260527,Mateo,24,4
20260527,Noah,24,4
20260527,Panther,24,4
20260527,Lucas,24,4
20260528,Matrix,24,4
20260528,Oliver,24,4
20260528,Gabriel,24,4
20260528,VanGogh,24,4
20260529,Donatello,24,4
20260529,Nathan,24,4
20260530,Bruno,24,4
20260530,Gabriel,24,4
20260531,Eric,24,4
20260531,Dexter,24,4
20260531,Samuel,24,4
20260601,Dexter,24,4
20260601,Alexander,24,4
20260601,Leonardo,24,4
20260601,George,24,4
20260601,Andrew,24,4
20260602,Oliver,24,4
20260602,Logan,24,4
20260602,Donatello,24,4
20260602,Andrew,24,4
20260602,Kai,24,4
20260603,Eduardo,24,4
20260603,Odin,24,4
20260603,Leonardo,24,4
20260603,Splinter,24,4
20260603,George,24,4
20260603,Alexis,24,4
20260604,Andrew,24,4
20260604,Matrix,24,4
20260604,Popeye,24,4
20260605,Iron,24,4
20260605,Maverick,24,4
20260605,Alexander,24,4
20260605,MisterX,24,4
20260606,Flash,24,4
20260606,Oliver,24,4
20260607,Andrew,24,4
20260607,Leonardo,24,4
20260607,Cezar,24,4
20260608,Andrew,24,4
20260608,Dexter,24,4
20260608,Beckham,24,4
20260517,Sebastian,23,4
20260518,Adriano,23,4
20260524,Arthur,23,4
20260603,Arthur,23,4
20260606,Alexis,23,4
20260607,Eric,23,4
20260608,Odin,23,4
20260601,Conde,22,4
20260518,Iron,21,4
20260519,Matrix,21,4
20260520,Eduardo,21,4
20260526,Felix,21,4
20260604,Eduardo,21,4
20260605,Haidan,21,4
20260606,Felix,21,4
20260606,Kaizen,21,4
20260606,Arthur,21,4
20260606,Odin,21,4
20260520,Conde,20,4
20260527,Eric,20,4
20260523,Kristof,46,5
20260531,Iron,46,5
20260526,Dexter,45,5
20260523,Dexter,27,5
20260527,Haidan,26,5
20260518,Arthur,25,5
20260526,Eric,25,5
20260602,Arthur,25,5
20260605,Alexis,25,5
20260605,Arthur,25,5
20260608,Haidan,25,5
20260517,Eric,24,5
20260517,Alexander,24,5
20260517,Mateo,24,5
20260517,Kristof,24,5
20260518,Logan,24,5
20260518,Kai,24,5
20260518,Beckham,24,5
20260518,Lucas,24,5
20260518,VanGogh,24,5
20260519,Mateo,24,5
20260519,Oliver,24,5
20260519,Noah,24,5
20260519,Lucas,24,5
20260519,Popeye,24,5
20260520,Flash,24,5
20260520,Oliver,24,5
20260520,Adriano,24,5
20260520,Beckham,24,5
20260521,Dexter,24,5
20260521,Mateo,24,5
20260521,Adriano,24,5
20260521,Logan,24,5
20260521,Conde,24,5
20260522,Panther,24,5
20260524,Juan,24,5
20260524,Alexis,24,5
20260524,Noah,24,5
20260524,Lucas,24,5
20260525,Alexis,24,5
20260526,William,24,5
20260526,Flash,24,5
20260526,Maverick,24,5
20260527,Alexis,24,5
20260528,Alexis,24,5
20260528,Logan,24,5
20260528,MisterX,24,5
20260528,Donatello,24,5
20260529,VanGogh,24,5
20260529,William,24,5
20260529,Lucas,24,5
20260530,Eric,24,5
20260530,Odin,24,5
20260530,Matrix,24,5
20260531,Beckham,24,5
20260531,William,24,5
20260531,Cleo,24,5
20260601,VanGogh,24,5
20260602,Odin,24,5
20260602,Adriano,24,5
20260602,Flash,24,5
20260602,Gabriel,24,5
20260602,Beckham,24,5
20260602,Haidan,24,5
20260602,Maverick,24,5
20260602,Luigi,24,5
20260602,MisterX,24,5
20260603,Bruno,24,5
20260603,Popeye,24,5
20260603,Alexander,24,5
20260603,Panther,24,5
20260604,Sebastian,24,5
20260604,Bruno,24,5
20260604,Leonardo,24,5
20260604,VanGogh,24,5
20260604,Donatello,24,5
20260604,Logan,24,5
20260605,Logan,24,5
20260606,Matrix,24,5
20260606,Kai,24,5
20260606,Pascal,24,5
20260606,Gabriel,24,5
20260606,Beckham,24,5
20260607,Lucas,24,5
20260607,VanGogh,24,5
20260608,Alexander,24,5
20260608,Dominic,24,5
20260518,Cleo,23,5
20260519,Odin,23,5
20260524,Matrix,23,5
20260528,Odin,23,5
20260528,Gael,23,5
20260601,Liam,23,5
20260602,Gael,23,5
20260604,Eric,23,5
20260517,George,22,5
20260517,Conde,22,5
20260519,Felix,22,5
20260525,Conde,22,5
20260528,Haidan,22,5
20260604,Felix,22,5
20260605,George,22,5
20260605,VanGogh,22,5
20260523,George,21,5
20260526,Arthur,21,5
20260530,Felix,21,5
20260605,Eric,21,5
20260605,Kai,21,5
20260607,Eduardo,21,5
20260603,Adriano,20,5
20260605,Beckham,20,5
20260523,Alexander,46,6
20260531,Sebastian,46,6
20260607,Iron,46,6
20260604,Dexter,45,6
20260519,Conde,25,6
20260601,Gael,25,6
20260603,Eric,25,6
20260516,Iron,24,6
20260516,Alexander,24,6
20260516,Beckham,24,6
20260517,Dexter,24,6
20260517,Nathan,24,6
20260517,Liam,24,6
20260517,Andrew,24,6
20260518,Bruno,24,6
20260519,Eric,24,6
20260519,Haidan,24,6
20260519,VanGogh,24,6
20260519,MisterX,24,6
20260519,Maverick,24,6
20260519,Gabriel,24,6
20260519,Logan,24,6
20260520,Eric,24,6
20260520,VanGogh,24,6
20260521,Cleo,24,6
20260521,Sebastian,24,6
20260521,George,24,6
20260522,Gabriel,24,6
20260522,Haidan,24,6
20260522,Lucas,24,6
20260523,Matrix,24,6
20260524,Logan,24,6
20260524,George,24,6
20260524,MisterX,24,6
20260525,VanGogh,24,6
20260525,George,24,6
20260525,Logan,24,6
20260525,Oliver,24,6
20260526,Gabriel,24,6
20260526,Lucas,24,6
20260528,Felix,24,6
20260528,Andrew,24,6
20260528,George,24,6
20260528,Adriano,24,6
20260529,Leonardo,24,6
20260529,George,24,6
20260530,Sebastian,24,6
20260530,Leonardo,24,6
20260601,Odin,24,6
20260604,Gabriel,24,6
20260604,Samuel,24,6
20260605,Adriano,24,6
20260605,Bruno,24,6
20260605,Cleo,24,6
20260605,Leonardo,24,6
20260606,Iron,24,6
20260607,Pascal,24,6
20260607,William,24,6
20260608,Adriano,24,6
20260608,MisterX,24,6
20260608,Iron,24,6
20260608,Pascal,24,6
20260608,Oliver,24,6
20260517,Arthur,23,6
20260519,Gael,23,6
20260524,Flash,23,6
20260530,Mateo,23,6
20260517,Kai,22,6
20260602,Liam,21,6
20260606,Gael,21,6
20260529,Andrew,45,7
20260603,Cleo,45,7
20260607,Alexander,45,7
20260519,Flash,24,7
20260520,Gabriel,24,7
20260520,Kai,24,7
20260521,Gael,24,7
20260522,Oliver,24,7
20260522,Matrix,24,7
20260525,Kai,24,7
20260526,Panther,24,7
20260526,Kai,24,7
20260526,Noah,24,7
20260529,Adriano,24,7
20260529,Cleo,24,7
20260530,Adriano,24,7
20260531,Alexander,24,7
20260531,Lucas,24,7
20260601,Eric,24,7
20260601,Pascal,24,7
20260601,Beckham,24,7
20260602,Cleo,24,7
20260602,Bruno,24,7
20260602,Alexander,24,7
20260604,William,24,7
20260604,Arthur,24,7
20260604,Flash,24,7
20260604,MisterX,24,7
20260604,Alexander,24,7
20260605,Odin,24,7
20260605,Oliver,24,7
20260606,Adriano,24,7
20260607,Dexter,24,7
20260607,George,24,7
20260607,Cleo,24,7
20260608,Kai,24,7
20260608,Cleo,24,7
20260518,MisterX,23,7
20260607,Logan,21,7
20260525,Iron,46,8
20260529,Dexter,46,8
20260527,Cleo,45,8
20260529,Kai,45,8
20260525,Andrew,44,8
20260523,Iron,40,8
20260521,VanGogh,24,8
20260522,Alexis,24,8
20260523,MisterX,24,8
20260528,Cleo,24,8
20260529,Felix,24,8
20260531,Juan,24,8
20260603,Logan,24,8
20260606,Maverick,24,8
20260606,MisterX,24,8
20260606,Lucas,24,8
20260607,Kai,24,8
20260608,Logan,24,8
20260608,Lucas,24,8
20260601,MisterX,45,9
20260517,Cleo,24,9
20260601,Iron,24,9
20260602,Pascal,24,9
20260526,Eduardo,45,10
20260521,Felix,25,10
20260601,Adriano,25,10
20260526,Matrix,24,10
20260601,Lucas,24,10
20260613,William 11,18,10
20260528,William,46,12
20260606,William,46,12
20260609,Gael 11,23,12
